,data,segmento,rentabilidade
0,2021-01-11,aereas,0.0
1,2021-01-11,agro,0.0
2,2021-01-11,bancos,0.0
3,2021-01-11,bova11,0.0
4,2021-01-11,celulose,0.0
5,2021-01-11,comidas_bedidas_farmacia,0.0
6,2021-01-11,construtoras,0.0
7,2021-01-11,educacao,0.0
8,2021-01-11,energia,0.0
9,2021-01-11,energia_renovavel,0.0
10,2021-01-11,incorporadora,0.0
11,2021-01-11,industriais,0.0
12,2021-01-11,infra_logistica,0.0
13,2021-01-11,locadoras,0.0
14,2021-01-11,material_construcao,0.0
15,2021-01-11,mineracao_metais,0.0
16,2021-01-11,oleo_gas,0.0
17,2021-01-11,pecas_auto,0.0
18,2021-01-11,quimicos,0.0
19,2021-01-11,saneamento,0.0
20,2021-01-11,saude,0.0
21,2021-01-11,seguro,0.0
22,2021-01-11,servicos_financeiro,0.0
23,2021-01-11,small11,0.0
24,2021-01-11,tech,0.0
25,2021-01-11,telecom,0.0
26,2021-01-11,varejo,0.0
27,2021-01-11,varejo_especializado,0.0
28,2021-01-11,vestuario,0.0
29,2021-01-12,aereas,4.52
30,2021-01-12,agro,1.65
31,2021-01-12,bancos,1.14
32,2021-01-12,bova11,0.7
33,2021-01-12,celulose,0.51
34,2021-01-12,comidas_bedidas_farmacia,2.05
35,2021-01-12,construtoras,1.67
36,2021-01-12,educacao,3.58
37,2021-01-12,energia,0.94
38,2021-01-12,energia_renovavel,1.86
39,2021-01-12,incorporadora,1.59
40,2021-01-12,industriais,2.32
41,2021-01-12,infra_logistica,2.19
42,2021-01-12,locadoras,1.65
43,2021-01-12,material_construcao,0.96
44,2021-01-12,mineracao_metais,-1.23
45,2021-01-12,oleo_gas,-0.47
46,2021-01-12,pecas_auto,-0.68
47,2021-01-12,quimicos,1.42
48,2021-01-12,saneamento,0.25
49,2021-01-12,saude,1.4
50,2021-01-12,seguro,0.67
51,2021-01-12,servicos_financeiro,2.09
52,2021-01-12,small11,1.0
53,2021-01-12,tech,3.9
54,2021-01-12,telecom,1.66
55,2021-01-12,varejo,1.78
56,2021-01-12,varejo_especializado,6.28
57,2021-01-12,vestuario,0.7
58,2021-01-13,aereas,1.66
59,2021-01-13,agro,1.49
60,2021-01-13,bancos,-0.43
61,2021-01-13,bova11,-1.06
62,2021-01-13,celulose,-1.75
63,2021-01-13,comidas_bedidas_farmacia,2.46
64,2021-01-13,construtoras,1.94
65,2021-01-13,educacao,3.13
66,2021-01-13,energia,2.26
67,2021-01-13,energia_renovavel,0.99
