,segmento_x,data,ativo,rentabilidade,retorno_ult_ativo,ranking_ativo,segmento,retorno_ult_segmento,ranking_segmento
0,agro,2021-01-11,AGRO3,0.0,-13.21,203.0,agro,7.68,7.0
1,agro,2021-01-12,AGRO3,2.68,-13.21,203.0,agro,7.68,7.0
2,agro,2021-01-13,AGRO3,2.45,-13.21,203.0,agro,7.68,7.0
3,agro,2021-01-14,AGRO3,5.43,-13.21,203.0,agro,7.68,7.0
4,agro,2021-01-15,AGRO3,2.53,-13.21,203.0,agro,7.68,7.0
5,agro,2021-01-18,AGRO3,1.85,-13.21,203.0,agro,7.68,7.0
6,agro,2021-01-19,AGRO3,-1.09,-13.21,203.0,agro,7.68,7.0
7,agro,2021-01-20,AGRO3,0.53,-13.21,203.0,agro,7.68,7.0
8,agro,2021-01-21,AGRO3,-0.34,-13.21,203.0,agro,7.68,7.0
9,agro,2021-01-22,AGRO3,-1.81,-13.21,203.0,agro,7.68,7.0
10,agro,2021-01-26,AGRO3,0.38,-13.21,203.0,agro,7.68,7.0
11,agro,2021-01-27,AGRO3,-2.3,-13.21,203.0,agro,7.68,7.0
12,agro,2021-01-28,AGRO3,-1.28,-13.21,203.0,agro,7.68,7.0
13,agro,2021-01-29,AGRO3,-2.75,-13.21,203.0,agro,7.68,7.0
14,agro,2021-02-01,AGRO3,0.0,-13.21,203.0,agro,7.68,7.0
15,agro,2021-02-02,AGRO3,-2.72,-13.21,203.0,agro,7.68,7.0
16,agro,2021-02-03,AGRO3,-5.85,-13.21,203.0,agro,7.68,7.0
17,agro,2021-02-04,AGRO3,-9.43,-13.21,203.0,agro,7.68,7.0
18,agro,2021-02-05,AGRO3,-10.83,-13.21,203.0,agro,7.68,7.0
19,agro,2021-02-08,AGRO3,-9.43,-13.21,203.0,agro,7.68,7.0
20,agro,2021-02-09,AGRO3,-9.62,-13.21,203.0,agro,7.68,7.0
21,agro,2021-02-10,AGRO3,-12.83,-13.21,203.0,agro,7.68,7.0
22,agro,2021-02-11,AGRO3,-12.49,-13.21,203.0,agro,7.68,7.0
23,agro,2021-02-12,AGRO3,-13.21,-13.21,203.0,agro,7.68,7.0
24,agro,2021-02-12,AGRO3,-13.21,-13.21,203.0,agro,7.68,7.0
25,agro,2021-01-11,BEEF3,0.0,-0.31,96.0,agro,7.68,7.0
26,agro,2021-01-12,BEEF3,3.95,-0.31,96.0,agro,7.68,7.0
27,agro,2021-01-13,BEEF3,1.98,-0.31,96.0,agro,7.68,7.0
28,agro,2021-01-14,BEEF3,2.19,-0.31,96.0,agro,7.68,7.0
29,agro,2021-01-15,BEEF3,1.77,-0.31,96.0,agro,7.68,7.0
30,agro,2021-01-18,BEEF3,1.66,-0.31,96.0,agro,7.68,7.0
31,agro,2021-01-19,BEEF3,-0.31,-0.31,96.0,agro,7.68,7.0
32,agro,2021-01-20,BEEF3,-1.14,-0.31,96.0,agro,7.68,7.0
33,agro,2021-01-21,BEEF3,-2.81,-0.31,96.0,agro,7.68,7.0
34,agro,2021-01-22,BEEF3,-4.58,-0.31,96.0,agro,7.68,7.0
35,agro,2021-01-26,BEEF3,-5.72,-0.31,96.0,agro,7.68,7.0
36,agro,2021-01-27,BEEF3,-3.64,-0.31,96.0,agro,7.68,7.0
37,agro,2021-01-28,BEEF3,-1.14,-0.31,96.0,agro,7.68,7.0
38,agro,2021-01-29,BEEF3,-2.81,-0.31,96.0,agro,7.68,7.0
