,Date,ativo,Adj Close,Close,High,Low,Open,Volume
0,2020-01-02,AALR3,18.84,19.0,19.0,18.28,18.29,585800.0
1,2020-01-02,ABCB4,19.65,20.3,20.3,19.82,20.0,870400.0
2,2020-01-02,ABEV3,18.62,19.2,19.25,18.78,18.86,16011300.0
3,2020-01-02,ADHM3,2.0567,2.0567,2.1148,1.9489,2.1148,233202.0
4,2020-01-02,AGRO3,18.64,19.25,19.3,19.1,19.1,59600.0
5,2020-01-02,ALPA4,32.53,32.58,33.44,32.47,32.98,1355800.0
6,2020-01-02,ALSO3,50.01,50.01,50.76,49.49,49.49,1627800.0
7,2020-01-02,ALUP11,27.15,27.98,28.08,27.53,27.75,192300.0
8,2020-01-02,AMAR3,13.46,13.46,13.48,13.07,13.29,1667200.0
9,2020-01-02,ANIM3,29.6,29.6,30.29,29.44,30.04,578500.0
10,2020-01-02,ARZZ3,63.36,63.91,64.2,63.13,64.0,529300.0
11,2020-01-02,ATOM3,1.72,1.72,1.74,1.68,1.69,49200.0
12,2020-01-02,AZUL4,58.8,58.8,59.3,58.15,58.78,1957700.0
13,2020-01-02,B3,43.62,45.11,45.11,43.18,43.18,19968600.0
14,2020-01-02,BBAS3,51.72,53.8,53.97,53.17,53.35,13159900.0
15,2020-01-02,BBDC4,33.15,34.1,34.1,32.91,33.21,20687260.0
16,2020-01-02,BBSE3,33.81,38.1,38.39,37.91,38.0,3930900.0
17,2020-01-02,BEEF3,12.0,12.36,12.77,12.36,12.66,5876060.0
18,2020-01-02,BEES3,6.21,6.53,6.61,6.3,6.3,48400.0
19,2020-01-02,BIDI11,45.29,45.49,46.83,45.32,46.62,760300.0
20,2020-01-02,BIOM3,12.82,12.82,12.85,12.44,12.59,29500.0
21,2020-01-02,BKBR3,17.29,17.35,17.95,17.17,17.95,918500.0
22,2020-01-02,BMGB4,9.3,9.59,9.94,9.54,9.94,2710100.0
23,2020-01-02,BOVA11,114.24,114.24,114.24,112.13,112.45,5684380.0
24,2020-01-02,BPAC11,74.17,75.81,76.99,75.81,76.15,1140400.0
25,2020-01-02,BPAN4,10.48,10.88,11.04,10.68,10.78,3945300.0
26,2020-01-02,BRAP4,36.47,38.03,38.97,38.03,38.61,2353800.0
27,2020-01-02,BRDT3,29.35,30.74,30.93,29.94,30.25,3835200.0
28,2020-01-02,BRFS3,35.88,35.88,35.98,35.16,35.34,3210200.0
29,2020-01-02,BRKM5,30.4,30.4,30.8,30.09,30.25,2719200.0
30,2020-01-02,BRML3,18.22,18.22,18.27,17.97,18.2,6441200.0
31,2020-01-02,BRPR3,14.55,14.7,14.7,14.24,14.49,1982700.0
32,2020-01-02,BRSR6,21.3,22.24,22.27,21.69,21.82,844800.0
33,2020-01-02,BSEV3,2.81,2.81,2.89,2.8,2.89,43300.0
34,2020-01-02,BTOW3,65.18,65.18,65.22,62.35,62.87,2529500.0
35,2020-01-02,CAML3,8.74,9.2,9.32,9.01,9.01,1470100.0
36,2020-01-02,CARD3,12.79,13.09,13.27,12.59,12.6,974900.0
37,2020-01-02,CCPR3,24.06,25.75,26.57,25.15,25.2,623400.0
38,2020-01-02,CCRO3,18.29,19.0,19.26,18.91,19.17,5363300.0
39,2020-01-02,CEAB3,18.1,18.1,18.22,17.71,17.99,1102600.0
40,2020-01-02,CESP6,29.73,32.54,32.54,31.3,31.94,912700.0
41,2020-01-02,CIEL3,8.4231,8.57,8.57,8.25,8.5,14708800.0
42,2020-01-02,CMIG3,14.25,14.93,15.04,14.73,15.01,3196688.0
43,2020-01-02,CNTO3,37.43,37.43,37.43,35.29,35.41,1312600.0
44,2020-01-02,COGN3,12.2,12.2,12.2,11.46,11.55,12730400.0
45,2020-01-02,CPFE3,31.22,35.21,35.96,35.1,35.69,1267000.0
46,2020-01-02,CPLE3,65.51,68.15,69.24,67.74,69.03,88400.0
47,2020-01-02,CRFB3,23.62,23.93,23.95,23.13,23.43,3206400.0
48,2020-01-02,CRPG5,24.8,25.4,25.4,24.92,25.03,15600.0
49,2020-01-02,N3,70.21,71.71,72.39,70.01,70.5,1351500.0
50,2020-01-02,CSMG3,18.71,22.61,22.77,22.46,22.77,1251000.0
51,2020-01-02,CSNA3,14.66,14.69,14.8,14.21,14.26,13780900.0
