,ativo,retorno_ult_ativo,ranking_ativo,segmento
0,ENJU3,45.83,1,varejo_especializado
1,PTBL3,42.61,2,material_construcao
2,GFSA3,40.29,3,construtoras
3,RSID3,38.97,4,construtoras
4,ROMI3,35.01,5,industriais
5,SLCE3,34.3,6,agro
6,LWSA3,32.21,7,tech
7,BPAN4,28.16,8,bancos
8,FHER3,26.81,9,quimicos
9,BIDI11,24.5,10,bancos
10,TOTS3,23.94,11,tech
11,CASH3,23.04,12,varejo_especializado
12,TECN3,22.83,13,varejo_especializado
13,ATOM3,22.13,14,servicos_financeiro
14,STBP3,21.47,15,infra_logistica
15,BPAC11,21.1,16,bancos
16,RDOR3,20.51,17,saude
17,ARZZ3,20.44,18,vestuario
18,BRKM5,20.4,19,quimicos
19,BTOW3,19.77,20,varejo
20,PCAR3,19.51,21,varejo
21,TESA3,19.29,22,agro
22,SEQL3,18.58,23,infra_logistica
23,PETZ3,17.94,24,varejo_especializado
24,AZUL4,17.62,25,aereas
25,EMBR3,17.07,26,aereas
26,SIMH3,16.97,27,infra_logistica
27,UCAS3,16.0,28,material_construcao
28,CRPG5,15.87,29,industriais
29,ENEV3,15.79,30,energia
30,SUZB3,15.35,31,celulose
31,SOMA3,14.86,32,varejo
32,LJQQ3,14.72,33,varejo
33,TASA3,13.95,34,industriais
34,NGRD3,12.69,35,tech
35,FRAS3,12.55,36,pecas_auto
36,RLOG3,10.77,37,infra_logistica
37,JBSS3,10.64,38,agro
38,SMTO3,10.38,39,agro
39,MGLU3,10.3,40,varejo
40,PGMN3,9.89,41,comidas_bedidas_farmacia
41,CPFE3,9.73,42,energia
42,VIVT3,8.67,43,telecom
43,NTCO3,8.55,44,varejo_especializado
44,CSAN3,8.3,45,oleo_gas
45,BRFS3,8.22,46,agro
46,HGTX3,8.01,47,vestuario
47,ENGI11,7.73,48,energia
48,BSEV3,7.12,49,energia_renovavel
49,EQTL3,6.8,50,energia
50,EVEN3,6.53,51,construtoras
51,VULC3,6.14,52,vestuario
52,CRFB3,6.05,53,comidas_bedidas_farmacia
53,EGIE3,5.76,54,energia
54,FLRY3,5.63,55,saude
55,NEOE3,5.35,56,energia_renovavel
56,DIRR3,5.17,57,construtoras
57,CARD3,5.05,58,tech
58,RADL3,5.03,59,comidas_bedidas_farmacia
59,ALSO3,4.85,60,incorporadora
60,RANI3,4.76,61,celulose
61,GUAR3,4.74,62,vestuario
62,MRFG3,4.66,63,agro
63,ENAT3,4.64,64,oleo_gas
64,MRVE3,4.32,65,construtoras
65,CVCB3,4.3,66,aereas
66,TFCO4,4.18,67,vestuario
67,IGTA3,3.86,68,incorporadora
68,BRML3,3.61,69,incorporadora
69,MDNE3,3.4,70,construtoras
70,GOLL4,3.34,71,aereas
71,OMGE3,3.31,72,energia_renovavel
72,LAME3,3.19,73,varejo
73,TIMS3,2.86,74,telecom
74,CYRE3,2.72,75,construtoras
75,RAIL3,2.7,76,infra_logistica
76,HBSA3,2.69,77,infra_logistica
77,CESP6,2.67,78,energia
78,WIZS3,2.62,79,seguro
79,FESA4,2.42,80,mineracao_metais
80,PRIO3,2.24,81,oleo_gas
81,LINX3,2.18,82,tech
82,AVLL3,2.15,83,incorporadora
83,SQIA3,1.96,84,tech
